txn_date,description,credit_amount,utr_reference
2024-06-03,INW RAZORPAY UTR2024KOTKXRGH9,18545.74,UTR2024KOTKXRGH95810810
2024-06-06,CREDIT UTR2024ICICWJ0T07894128 LEELA NAMB,18545.74,UTR2024ICICWJ0T07894128
2024-06-09,NEFT CR-UTR-2024-SBIN-Q4FM56550573-AMIT BOSE-RAZORPAY,37462.52,UTR-2024-SBIN-Q4FM56550573
2024-06-10,INW RAZORPAY UTR2024HDFCAJI06,37895.06,utr2024hdfcaji064480620
2024-06-13,NEFT CR-UTR2024HDFC9TEX4-RAJESH DUBEY-RAZORPAY,25566.06,UTR2024HDFC9TEX4
2024-06-15,NEFT CR-utr2024hdfc874f51415070-NISHA AGARWA-RAZORPAY,14248.61,UTR2024HDFC874F51415070
2024-06-17,CR RAZORPAY SETTLEMENTS utr2024sbin7hzi22796984,33630.46,utr2024sbin7hzi22796984
2024-06-17,INW RAZORPAY utr2024hdfcnvqj61611571,16430.86,UTR2024HDFCNVQJ6
2024-06-24,CR RAZORPAY SETTLEMENTS UTR2024SBINF0T07,35136.73,UTR2024SBINF0T074720049
2024-06-27,IMPS/utr2024sbinepq864491554/Sanjay/RAZORPAY SOFTWARE,24009.68,UTR-2024-SBIN-EPQ864491554
2024-06-27,NEFT CR-utr2024kotkqpki52229788-KARAN GUPTA-RAZORPAY,22425.96,UTR2024KOTKQPKI52229788
2024-06-30,CR RAZORPAY SETTLEMENTS UTR-2024-AXIS-UE8Y50650047,24009.68,utr2024axisue8y50650047
2024-06-30,NEFT CR-UTR2024HDFC4FFY15066074-ROHIT VERMA-RAZORPAY,30807.37,UTR-2024-HDFC-4FFY15066074
2024-06-30,CREDIT UTR-2024-SBIN-4SHN66122677 DEEPAK MAL,5735.37,UTR2024SBIN4SHN66122677
2024-07-02,CR RAZORPAY SETTLEMENTS utr2024icicy41i10776471,1585.67,UTR2024ICICY41I10776471
2024-07-03,INW RAZORPAY UTR-2024-ICIC-ZOYN78012397,29457.99,UTR2024ICICZOYN7
2024-07-03,INW RAZORPAY UTR-2024-SBIN-HR5X39394642,6191.35,utr2024sbinhr5x39394642
2024-07-06,NEFT CR-UTR2024ICICJ5PH0-NISHA AGARWA-RAZORPAY,13173.59,UTR2024ICICJ5PH09920108
2024-07-09,INW RAZORPAY UTR-2024-ICIC-FN9X15579644,32479.95,UTR2024ICICFN9X15579644
2024-07-09,CREDIT UTR-2024-HDFC-4CIY59039314 ROHIT VERM,6468.65,utr2024hdfc4ciy59039314
2024-07-10,CREDIT UTR2024HDFCYE5165201944 NISHA AGAR,17252.99,UTR2024HDFCYE5165201944
