order_id,order_date,customer_name,amount,currency
ORD2024020,2024-07-08,Nisha Agarwal,17670.0,INR
ORD2024050,2024-07-30,Divya Reddy,29709.0,INR
ORD2024049,2024-07-30,Karan Gupta,7301.0,INR
ORD2024013,2024-06-29,Nisha Agarwal,1624.0,INR
ORD2024045,2024-07-06,Meera Pillai,24155.0,INR
ORD2024006,2024-08-07,Rohit Verma,9879.0,INR
ORD2024018,2024-06-27,Rohit Verma,31552.0,INR
ORD2024053,2024-07-15,Vikram Nair,33064.0,INR
ORD2024004,2024-07-30,Meera Pillai,18049.0,INR
ORD2024033,2024-07-15,Karan Gupta,14679.0,INR
ORD2024014,2024-07-13,Priya Sharma,34968.0,INR
ORD2024009,2024-07-18,Swati Choudhury,23216.0,INR
ORD2024027,2024-06-10,Rajesh Dubey,26184.0,INR
ORD2024007,2024-07-24,Leela Nambiar,35163.0,INR
ORD2024035,2024-08-11,Kavitha Menon,1382.0,INR
ORD2024005,2024-07-17,Varun Bansal,8137.0,INR
ORD2024038,2024-07-11,Sunita Yadav,29925.0,INR
ORD2024025,2024-08-21,Shruti Desai,16198.0,INR
ORD2024046,2024-06-15,Aditya Kulkarni,34444.0,INR
ORD2024034,2024-08-03,Aarti Bhatt,21246.0,INR
ORD2024051,2024-07-26,Aarti Bhatt,26370.0,INR
ORD2024016,2024-06-23,Vikram Nair,35986.0,INR
ORD2024010,2024-06-07,Amit Bose,38368.0,INR
ORD2024017,2024-08-01,Kavitha Menon,15645.0,INR
ORD2024031,2024-08-18,Nisha Agarwal,34866.0,INR
ORD2024037,2024-06-24,Karan Gupta,22968.0,INR
ORD2024026,2024-07-16,Meera Pillai,2723.0,INR
ORD2024012,2024-07-07,Nisha Agarwal,33265.0,INR
ORD2024001,2024-06-08,Deepak Malhotra,38811.0,INR
ORD2024048,2024-07-19,Rohit Verma,34893.0,INR
ORD2024028,2024-07-03,Nisha Agarwal,13492.0,INR
ORD2024032,2024-07-07,Rohit Verma,6625.0,INR
ORD2024041,2024-07-16,Amit Bose,2652.0,INR
ORD2024030,2024-07-07,Mohit Arora,7623.0,INR
ORD2024047,2024-07-11,Amit Bose,32803.0,INR
ORD2024002,2024-07-31,Swati Choudhury,39410.0,INR
ORD2024022,2024-07-17,Mohit Arora,26273.0,INR
ORD2024003,2024-07-17,Aditya Kulkarni,22449.0,INR
ORD2024042,2024-06-01,Leela Nambiar,18994.0,INR
ORD2024040,2024-07-07,Shruti Desai,29762.0,INR
ORD2024036,2024-08-19,Sneha Iyer,43453.0,INR
ORD2024024,2024-07-23,Ananya Krishnan,45843.0,INR
ORD2024044,2024-08-07,Ritu Saxena,27035.0,INR
ORD2024011,2024-08-23,Swati Choudhury,11122.0,INR
ORD2024023,2024-06-27,Deepak Malhotra,5874.0,INR
ORD2024019,2024-06-16,Ritu Saxena,16828.0,INR
ORD2024054,2024-08-07,Nikhil Joshi,21221.0,INR
ORD2024021,2024-06-24,Sanjay Kapoor,24590.0,INR
ORD2024008,2024-07-25,Rajesh Dubey,7417.0,INR
ORD2024043,2024-08-08,Aditya Kulkarni,42257.0,INR
ORD2024015,2024-06-30,Varun Bansal,6341.0,INR
ORD2024029,2024-07-02,Nisha Agarwal,30170.0,INR
ORD2024052,2024-08-06,Mohit Arora,4841.0,INR
ORD2024039,2024-06-14,Nisha Agarwal,14593.0,INR
